epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,5377.56,1.76984,2.36841,1.37466,0.34851,0.22254,0.14089,0.06584,1.95415,3.00552,1.50831,0.000203718,0.000203718,0.000203718
66,5453.9,1.77919,2.33559,1.38384,0.34743,0.21797,0.1478,0.06939,1.95852,2.97158,1.50472,0.000198214,0.000198214,0.000198214
67,5530.28,1.7222,2.35308,1.31884,0.34202,0.23012,0.14953,0.06976,1.9547,2.96226,1.50032,0.00019271,0.00019271,0.00019271
68,5604.78,1.70764,2.32721,1.34185,0.27924,0.21345,0.15528,0.07416,1.94059,2.94135,1.50226,0.000187205,0.000187205,0.000187205
69,5680.7,1.72315,2.37048,1.35155,0.27914,0.20759,0.16121,0.08115,1.94328,2.93836,1.49893,0.000181701,0.000181701,0.000181701
70,5756,1.71445,2.2764,1.34894,0.29087,0.17367,0.16381,0.08605,1.94458,2.92585,1.49846,0.000176196,0.000176196,0.000176196
71,5831,1.7313,2.32831,1.34003,0.38998,0.17957,0.16022,0.08294,1.94088,2.90872,1.49431,0.000170692,0.000170692,0.000170692
72,5907.14,1.71026,2.32799,1.31404,0.41164,0.18465,0.16814,0.08778,1.9411,2.91498,1.48537,0.000165188,0.000165188,0.000165188
73,5981.63,1.73017,2.37873,1.3358,0.40193,0.19813,0.16262,0.08322,1.94581,2.92523,1.49095,0.000159683,0.000159683,0.000159683
74,6057.52,1.71244,2.2157,1.29745,0.40291,0.19356,0.16393,0.08572,1.94424,2.92844,1.4919,0.000154179,0.000154179,0.000154179
75,6130.81,1.6835,2.26303,1.306,0.40501,0.18347,0.16204,0.08657,1.94406,2.93524,1.49287,0.000148674,0.000148674,0.000148674
76,6205.09,1.72549,2.19727,1.31786,0.39885,0.17423,0.16377,0.08774,1.95137,2.93952,1.50876,0.00014317,0.00014317,0.00014317
77,6283.07,1.72335,2.22662,1.31729,0.35679,0.23242,0.17532,0.09544,1.96469,2.94987,1.51963,0.000137666,0.000137666,0.000137666
78,6363.33,1.73575,2.26341,1.30848,0.3515,0.22541,0.17489,0.09602,1.9702,2.95105,1.51883,0.000132161,0.000132161,0.000132161
79,6439.09,1.61839,2.12849,1.31018,0.34868,0.22497,0.17684,0.09746,1.97111,2.94305,1.51942,0.000126657,0.000126657,0.000126657
80,6512.48,1.6537,2.17471,1.30194,0.35123,0.24108,0.17985,0.09634,1.96362,2.91792,1.51339,0.000121152,0.000121152,0.000121152
81,6584.66,1.57984,2.10164,1.27832,0.36174,0.26596,0.18335,0.09784,1.96719,2.90431,1.51344,0.000115648,0.000115648,0.000115648
82,6658.39,1.65965,2.14868,1.30497,0.2913,0.26648,0.18317,0.09764,1.96522,2.89986,1.51261,0.000110144,0.000110144,0.000110144
83,6731.81,1.68604,2.16603,1.32128,0.2898,0.2659,0.18417,0.09886,1.96173,2.89135,1.51311,0.000104639,0.000104639,0.000104639
84,6805.57,1.69755,2.17532,1.29016,0.29422,0.27518,0.18308,0.09696,1.95609,2.87314,1.50087,9.91348e-05,9.91348e-05,9.91348e-05
85,6880.1,1.68779,2.14268,1.3089,0.29559,0.27234,0.183,0.09648,1.95239,2.87968,1.50121,9.36304e-05,9.36304e-05,9.36304e-05
86,6954.72,1.65246,2.17564,1.29647,0.29201,0.26837,0.18477,0.10099,1.94727,2.88963,1.49817,8.8126e-05,8.8126e-05,8.8126e-05
87,7029.79,1.67839,2.10608,1.28763,0.36785,0.25738,0.18607,0.10179,1.94199,2.89667,1.49378,8.26216e-05,8.26216e-05,8.26216e-05
88,7103.87,1.65361,2.12571,1.29343,0.39981,0.22025,0.17507,0.0946,1.93784,2.90523,1.49368,7.71172e-05,7.71172e-05,7.71172e-05
89,7179.53,1.63405,2.03204,1.27347,0.3998,0.21828,0.18624,0.10393,1.94284,2.89987,1.4959,7.16128e-05,7.16128e-05,7.16128e-05
90,7253.13,1.65853,2.1293,1.2849,0.39526,0.20596,0.18721,0.1045,1.94422,2.8936,1.49676,6.61084e-05,6.61084e-05,6.61084e-05
91,7325.64,1.67947,2.24288,1.30753,0.396,0.20589,0.17732,0.09416,1.94152,2.88395,1.49375,6.0604e-05,6.0604e-05,6.0604e-05
92,7398.23,1.66468,2.21223,1.30939,0.33632,0.21705,0.17324,0.08867,1.94298,2.86215,1.49797,5.50996e-05,5.50996e-05,5.50996e-05
93,7470.81,1.63322,2.20092,1.28688,0.34764,0.21655,0.17597,0.08912,1.94282,2.86051,1.50129,4.95952e-05,4.95952e-05,4.95952e-05
94,7543.76,1.68847,2.26091,1.32964,0.35509,0.21187,0.17704,0.08961,1.94297,2.85757,1.50341,4.40908e-05,4.40908e-05,4.40908e-05
95,7615.77,1.60043,2.1124,1.2986,0.34533,0.20888,0.17465,0.08814,1.94339,2.85244,1.50403,3.85864e-05,3.85864e-05,3.85864e-05
96,7687.96,1.60936,2.14592,1.29627,0.34221,0.20483,0.17794,0.09006,1.93771,2.84674,1.49929,3.3082e-05,3.3082e-05,3.3082e-05
97,7760.28,1.63356,2.16433,1.30971,0.35632,0.21637,0.17958,0.08962,1.93721,2.84932,1.49638,2.75776e-05,2.75776e-05,2.75776e-05
98,7838.14,1.55899,2.08243,1.2849,0.34691,0.21874,0.19766,0.10471,1.93417,2.8523,1.49319,2.20732e-05,2.20732e-05,2.20732e-05
99,7970.43,1.58815,2.07252,1.28012,0.3546,0.21243,0.19633,0.10393,1.93306,2.85348,1.49236,1.65688e-05,1.65688e-05,1.65688e-05
100,8043.52,1.58045,2.10706,1.29594,0.33909,0.22244,0.1975,0.10282,1.93552,2.85776,1.49223,1.10644e-05,1.10644e-05,1.10644e-05
